曲名,平均密度,音符数-1
懐中庭園を持つ少女,7.361,826
にゃーにゃーにゃー,7.354,858
ウルトラマンX(裏譜面),7.350,1034
Abyss of hell(裏譜面),7.341,1099
其方、激昂,7.334,993
FLOWER(裏譜面),7.320,872
ゴーストマスク,7.313,898
アサガオ,7.309,764
秘ナルメジェドノ悲ナル憂鬱,7.307,817
零の交響曲(裏譜面),7.297,892
ドドンガド～ン(裏譜面),7.292,875
†††カオスタイム the DARK†††,7.276,999
天泣の律,7.270,820
月読命,7.262,972
Gloria,7.261,887
Central Dogma Pt.1,7.246,875
8OROCHI,7.238,957
ネクロファンタジア ～ Arr.Demetori,7.234,1159
星河一天,7.218,857
R.I.,7.207,924
燎原ノ舞,7.205,821
CUT! into the FUTURE,7.190,988
Calculator,7.186,776
鼓舞曲「閻魔」,7.172,978
Don't Stop the Game,7.164,845
Aloft in the wind(裏譜面),7.160,783
Re：End of a Dream(裏譜面),7.160,998
EkiBEN2000,7.153,875
神竜 ～Shinryu～,7.152,972
ひよこ鑑定士さん,7.151,851
モノクロボイス,7.144,960
天照,7.119,857
めためた☆ゆにば～すっ！(裏譜面)(普通譜面),7.118,764
VERTeX,7.114,805
哀 want U,7.104,948
共奏鼓祭(裏譜面),7.089,869
晨星ト鵺,7.075,903
Illusion Flare,7.067,765
X-DAY2000,7.053,764
トイマチック☆パレード!!,7.050,850
D's Adventure Note,7.026,871
Surf Zapping,7.009,839
彼は誰時の誘惑(裏譜面),7.009,915
Got more raves？(裏譜面),7.003,823
INSPION,6.969,1051
オーブの祈り,6.966,1061
刻竜 ～Kokuryu～,6.947,884
夏祭り / ジッタリン・ジン(裏譜面),6.939,846
夜桜謝肉祭(裏譜面),6.937,941
ex寅 Trap!!,6.930,887
Vixtory,6.916,911
Dogbite,6.916,816
カラ鞠の花,6.915,773
濃紅,6.911,949
濃紅(レヴィ・エリファ),6.911,949
あの日出会えたキセキ,6.904,902
Ignis Danse,6.897,817
FUJIN Rumble,6.887,750
またさいたま2000,6.885,834
SAVAGE DELIGHT,6.882,857
Chronomia,6.877,968
VIVIVIVID,6.871,667
わら得る2000,6.870,817
Purple Rose Fusion,6.870,875
ノるどん2000,6.865,935
DEBSTEP！,6.863,887
タベルナ2000,6.843,820
KAGEKIYO(裏譜面)(達人譜面),6.843,998
KAGEKIYO(裏譜面)(玄人譜面),6.841,997
KAGEKIYO(裏譜面)(普通譜面),6.835,996
超絶技巧系少女,6.811,802
wonderful ROUTINE,6.807,776
23時54分、陽の旅路へのプレリュード,6.805,986
SUPERNOVA,6.798,936
Blessed Bouquet Buskers,6.791,867
コネクトカラーズ,6.787,871
Doom Noiz,6.773,960
ココドコ？多分ドッカ島！(裏譜面),6.766,938
愛と浄罪の森,6.759,831
memoria ficta,6.757,746
タイコタイム(裏譜面),6.748,875
うちゅうひこうし冒険譚,6.739,796
What's in the box? ,6.731,749
ON SAY GO SAY(裏譜面),6.717,620
きたさいたま2000,6.705,801
メタナイトの逆襲メドレー(裏譜面),6.704,999
チャーリー ダッシュ！,6.695,857
Taiko Drum Monster,6.685,849
No Gravity,6.678,673
Libera Ray,6.646,859
承認欲Q,6.645,898
BATTLE NO.1(玄人譜面),6.627,833
旋風ノ舞【天】,6.613,615
The Future of the 太鼓ドラム,6.602,973
オーバード(裏譜面),6.595,732
よーいドン！,6.585,776
乱数調整のリバースシンデレラ(裏譜面),6.582,706
Doppelgangers(裏譜面),6.565,928
メタルホーク BGM1(達人譜面→最終玄人譜面),6.532,763
人のお金で焼肉を食したい！(裏譜面),6.525,828
重金属フューギティブ,6.523,652
森羅万象(玄人譜面),6.513,859
アムピト♢リーテー,6.505,832
とける,6.485,787
てんぢく2000,6.484,830
waitin' for u,6.481,761
Challengers,6.478,752
Emma(裏譜面)(普通譜面),6.442,780
旋風ノ舞【天】(裏譜面),6.430,598
Venomous(裏譜面),6.424,764
六本の薔薇と采の歌(裏譜面)(玄人譜面),6.422,978
4+1のそれぞれの未来,6.417,875
クラポルポルスカ,6.417,722
疾風怒濤,6.404,771
LECIEL GLISSANDO,6.402,756
Kamikaze Remix,6.377,736
"Hello, Mr.JOKER",6.364,820
Parousia,6.358,786
VICTORIA,6.352,857
メタルホーク BGM1(達人譜面),6.343,764
イオシス秋の爆食祭2024,6.314,810
儚姫は原初に舞う,6.304,739
Caribbean Knight,6.294,805
ドンカマ2000,6.208,764
モノクロームユートピア,6.191,681
テトラリュトモスフォビア,6.120,716
Garakuta Doll Play(裏譜面),6.117,714
キャラメル・ジャンキヰ,6.108,879
アンリミテッドゲームズ,6.067,832
Toon Town's Toys' Tune,6.051,658
Agent Hustle & Dr. Hassle,5.966,692
SORA-Ⅶ シグナスウォール,5.964,838
須佐之男,5.945,685
ミュージック・リボルバー(裏譜面),5.937,776
六華の舞,5.921,707
星屑ストラック,5.917,710
Altale(裏譜面),5.863,819
憎悪と醜悪の花束,5.863,721
Spectral Rider,5.856,747
ハンロック,5.820,610
タイコロール,5.798,875
GIGALODOON,5.764,772
OK I’m blue rat,5.760,815
三瀬川乱舞(裏譜面),5.750,638
十露盤2000,5.733,764
メタルホーク BGM1(玄人譜面),5.702,666
Destr0yer(裏譜面),5.662,803
BATTLE NO.1(普通譜面),5.609,705
スーハー2000,5.519,667
詩謳兎揺蕩兎,5.397,679
メタルホーク BGM1(普通譜面),5.385,629
森羅万象(普通譜面),5.368,708
あなたとトゥラッタッタ♪(裏譜面),5.337,467
ココロボ,5.283,619
六本の薔薇と采の歌(裏譜面)(普通譜面),5.227,796
Honey Heartbeat ～10 Stars Mix～(裏譜面),5.218,764
MagiCatz,5.134,731
【双打】 双竜ノ乱,5.104,602
彁,5.090,691
Aleph-0,4.926,578
ゲゲゲの鬼太郎(氷川きよし)(裏譜面),4.884,389
もぺもぺ,4.856,500
パン vs ごはん！ 大決戦！(普通譜面),4.551,479
パン vs ごはん！ 大決戦！(裏譜面)(普通譜面),4.551,479
鼓立あおはる学園校歌,4.508,612
【双打】 Garakuta Doll Play(裏譜面),4.498,525
【双打】 Garakuta Doll Play(裏譜面),4.412,515
【双打】 紅(裏譜面),4.236,611
【双打】 紅(裏譜面),4.226,610
【双打】 双竜ノ乱,3.790,447
【双打】 KAGEKIYO(裏譜面),3.607,526
【双打】 KAGEKIYO(裏譜面),3.567,517
AWAKE!! ～マッスル目覚めのテーマ～(裏譜面),9.255,1183
ESCAPE FROM CRISIS(裏譜面),8.399,1166
〆ドレー2000＋,8.293,1413
アクセルレーション(裏譜面),8.237,960
ギミチョコ！！(裏譜面),8.136,1135
そつおめしき・ふる,7.970,1486
Thinking ～Must Mix～(裏譜面),7.904,875
郢曲／暁闇,7.900,998
蒼鷺之火(裏譜面),7.620,967
THE FIXER,7.602,1074
RUN PAC-MAN RUN!,7.561,764
鬼走曲第24番,7.472,895
Next Life,7.298,875
Beat Again(裏譜面),7.212,732
ロストアンブレラ(裏譜面),7.179,797
Telecastic fake show,7.082,999
初音ミクの激唱(裏譜面),7.067,998
聖槍爆裂ボーイ(裏譜面),7.010,736
チキンレース(裏譜面),7.001,799
Crush 'em All,6.777,1047
バブル・リップ・レイヴ・マシン,6.357,686
クレイジービューティー,6.351,869
神鬼争乱,6.338,793
Groovy Duel,5.753,654
初音ミクの激唱,4.905,702
やわらか戦車(裏譜面),8.880,888
LOVE戦!!(裏譜面),8.206,941
Wasabi Body Blow,8.188,958
闇の魔法少女,7.911,1157
めたるぽりす(裏譜面),7.701,764
Turquoise Tachometer,7.656,834
珈琲の味と,7.585,925
スカーレット警察のゲットーパトロール24時(裏譜面)(達人譜面),7.584,878
シン・ゾンビ(達人譜面),7.556,793
時空庁時空1課,7.489,835
勇者(裏譜面),7.456,656
Smile！ Smile！ Smile！(裏譜面),7.412,297
スカーレット警察のゲットーパトロール24時(裏譜面)(普通譜面),7.411,858
twinkle night (feat. somunia)(裏譜面),7.407,816
who are you? who are you?(裏譜面),7.373,948
アイドル狂戦士(feat.佐藤貴文)(裏譜面),7.334,853
ルカルカ★ナイトフィーバー(裏譜面),7.330,635
患部で止まってすぐ溶ける ～ 狂気の優曇華院,7.328,914
蒼の旋律,7.319,932
元祖！天才チルノちゃん☆,7.298,858
華蕾夢ミル狂詩曲～魂ノ導～(裏譜面),7.292,831
シン・ゾンビ(普通譜面),7.280,764
夜桜謝肉祭,7.261,985
The Carnivorous Carnival,7.259,776
大好きな太鼓の音(裏譜面),7.225,875
punk bastards,7.195,748
B.B.K.K.B.K.K.,7.185,852
モルフォ,7.184,713
Scream out！ ‐達人Edit.‐(裏譜面),7.152,998
ヒカリアレ,7.142,638
練習曲Op.10-4,7.142,851
脳漿炸裂ガール(裏譜面),7.065,709
CYBERgenicALICE,6.992,644
CYBERgenicALICE(先斗寧),6.992,644
魔理沙は大変なものを盗んでいきました,6.988,809
熊蜂の飛行,6.968,629
ミックスナッツ(裏譜面),6.966,599
Scars of FAUNA,6.955,779
おにぎりはどこかしら♪,6.950,853
チェインクロニクル 最終決戦メドレー(裏譜面),6.950,819
鳳凰天舞無限崩れ,6.949,688
激運！七福ハッピークルー,6.949,776
大空と太鼓の踊り,6.935,863
一世風靡(達人譜面),6.913,866
シャイニング☆アブラカタブラ,6.910,665
春竜 ～Haryu～(裏譜面),6.886,832
Hyper Bass (feat. Yunomi),6.871,876
行かないでイカロス,6.864,665
フォニイ(裏譜面),6.860,920
Princess of Donder,6.853,764
ALiVE,6.848,829
神様の言うとおりに(裏譜面),6.840,832
クロス・ブルー,6.840,961
ガンスリンガーシンデレラ,6.829,860
さんぽ(裏譜面),6.820,815
天妖ノ舞,6.813,686
はやさいたま2000,6.813,569
自分REST@RT(裏譜面),6.804,764
リヒト(裏譜面),6.804,644
ギガンティックO.T.N,6.800,888
しょうゆ de Show you!,6.798,728
G意識過剰,6.778,789
RAINBOW★SKY,6.776,767
＋♂(プラス男子)(裏譜面),6.759,899
アサルト BGM1(裏譜面),6.756,760
Heat Haze Shadow 2,6.745,764
絆ノ奇跡(裏譜面),6.739,598
Brain Power,6.732,707
セイクリッド ルイン,6.722,875
ピコピコ ルイン,6.722,875
パラレルロリポップ,6.712,706
恋文2000,6.701,776
六兆年と一夜物語,6.659,845
GO GET'EM！(裏譜面),6.643,647
愛なんだぜ,6.637,623
初音ミクの消失 ‐劇場版‐,6.630,764
ナマハゲノウタ,6.614,779
希望へのメロディー(裏譜面),6.608,930
TOKIMEKI♡ですとろいやー！！,6.607,781
Irregular Clock,6.604,904
少女の神の粒子,6.588,998
猫サンキュー,6.583,638
マオウのショウタイム,6.575,887
ケロ⑨destiny,6.572,768
マリオネットピュア,6.571,618
マリオネットピュア(リゼ・ヘルエスタ),6.571,618
ラッスンゴレライ(裏譜面),6.561,805
Ridge Racer(裏譜面),6.533,943
カンタービレ×パッシオーネ(裏譜面),6.527,891
Rat A Tat!!!(裏譜面),6.527,566
Red Rose Evangel,6.513,764
華振舞,6.495,931
IN THE ZONE,6.483,764
食らいむ！まうんとぱふぇ,6.462,764
"AtoZ,I leave toZ",6.461,758
電子ドラムの達人,6.460,881
Unwelcome School (MRM REMIX),6.451,984
うまぴょい伝説(裏譜面),6.448,824
シンデレラ(裏譜面),6.448,977
カラフルボイス,6.440,875
ユースフルコースター,6.439,723
バイオレンストリガー,6.434,519
オパ！オパ！RACER ‐ GMT mashup ‐,6.427,681
Venomous,6.424,764
エンジェル ドリーム(裏譜面)(達人譜面=玄人譜面=普通譜面),6.418,905
エンジェル ドリーム(フレン・E・ルスタリオ)(裏譜面)(達人譜面=玄人譜面=普通譜面),6.418,905
Garakuta Doll Play,6.417,749
カグツチ,6.413,715
ラ・カンパネラ(裏譜面),6.411,704
魔導幻想曲,6.391,795
夜明けまであと3秒,6.390,813
Grip & Break down !! -達人Edit.-(裏譜面),6.387,776
ねこくじら(裏譜面),6.373,825
God knows...(裏譜面),6.362,937
愛×愛ホイッスル （カレーメシ公式曲）,6.357,948
KUSANAGI,6.341,744
幾望の月,6.330,838
音虫をつかまえろ！,6.324,645
スプラトゥーン2 メドレー(裏譜面),6.317,756
トラストゲーム,6.313,656
SAKURA EXHAUST,6.302,764
Shiny Kung-fu Revival,6.301,764
dance storm(裏譜面),6.300,764
Extreme MGG★★★(裏譜面),6.300,756
KARMA(Tatsujin Mix),6.298,875
冬竜 ～Toryu～(裏譜面),6.296,686
FooFooカセット,6.276,809
ヒカリノカナタヘ,6.268,796
Shine!!(裏譜面),6.259,545
Dragoon,6.250,764
オール・イン・マイハート,6.245,703
いっそこのままで,6.243,764
いっそこのままで(山神カルタ),6.243,764
ワールズエンド・ダンスホール,6.235,699
最果の魔法使い,6.234,808
チルノのパーフェクトさんすう教室 ⑨周年バージョン,6.232,750
New World,6.228,724
燃えよサファイア,6.221,787
らいとにんぐ ぱっしょん(裏譜面),6.217,764
3piece-JazzParty！,6.213,551
はいよろこんで(裏譜面),6.208,511
風魔モジュール6768(裏譜面),6.197,905
零の夜想曲(裏譜面),6.192,821
イオシス秋の肉食祭2014,6.182,847
ウサテイ,6.181,692
ナイト・オブ・ナイツ(達人譜面),6.181,650
チェインクロニクル 通常バトルメドレー(裏譜面),6.172,777
アスノヨゾラ哨戒班,6.158,718
ソードバトラーズ(裏譜面),6.153,603
フリフリ♪ノリノリ♪(裏譜面),6.148,664
Star!!(裏譜面),6.142,529
Leviathan,6.128,753
My Muscle Heart,6.126,833
DON'T CUT(裏譜面),6.122,753
マサカリブレイド,6.110,686
忘却のティルナノグ,6.109,793
迅風丸(裏譜面),6.098,658
Nosferatu,6.085,875
残響(裏譜面),6.074,531
ラパスの虹,6.053,688
FLOWER,6.044,720
ナイト・オブ・ナイツ(玄人譜面),6.038,635
Xa,6.022,674
零の狂詩曲,6.021,834
ナイト・オブ・ナイツ(普通譜面),6.019,633
Fallen Angel,6.013,844
Sunset Runaway,6.000,609
毒LOCANdy♡,5.994,776
私立高天原学園高校・校歌,5.992,828
合唱スタボーフェ！,5.978,672
めたるぽりす,5.978,593
凛,5.967,671
聖徳たいこの「日いずるまで飛鳥」(達人譜面),5.966,813
Got more raves？,5.965,701
泥の分際で私だけの大切を奪おうだなんて,5.958,769
TD - 28619029byte remix -,5.957,881
幻想即興曲,5.954,557
千鼓千鼓,5.944,775
六兆年と一夜物語(裏譜面),5.941,752
ミツボシ☆☆★(裏譜面),5.928,755
ダンスロボットダンス,5.927,875
JOIN THE PAC -太鼓の達人 Ver.-,5.913,605
1・2・さんしのでドンドカッカッ！(裏譜面),5.908,714
マジカル・パフェ,5.902,651
百鬼夜行(達人譜面),5.896,710
Shining Lights (feat. PSYQUI),5.896,861
ラビットホール,5.896,915
タイコタイム(達人譜面),5.892,764
Solitude Star,5.887,765
聖徳たいこの「日いずるまで飛鳥」(玄人譜面),5.885,802
サラえる,5.869,598
Heaven's Rider,5.863,713
SAMURAI ROCKET(裏譜面),5.853,887
Pastel Sealane,5.839,849
わんにゃーワールド,5.836,764
エイリアンエイリアン,5.834,745
サンバ アレグリーア(裏譜面),5.828,764
秋竜 ～Shiuryu～,5.820,749
散りゆく蘭の綴る詩,5.817,700
百鬼夜行(普通譜面=玄人譜面),5.816,710
Crystal Hail,5.798,816
アルムジカac14.0V,5.797,554
リンダは今日も絶好調(裏譜面),5.785,593
STAGE 0.ac11,5.785,764
ウルトラマンギンガの歌,5.784,817
つながれ！ひろがれ！打ち上がれ！,5.779,775
よくでる2000,5.777,656
業 -善なる神とこの世の悪について-,5.774,874
Space-Time Emergency,5.754,557
聖徳たいこの「日いずるまで飛鳥」(普通譜面),5.753,784
戦国三弦(達人譜面),5.741,677
亜空間遊泳ac12.5,5.736,776
LΔchesis,5.735,653
ひよっこファンタジー,5.721,582
キラメキラリ,5.718,690
旋風ノ舞　【地】,5.713,692
ヤマタイ★ナイトパーティー,5.709,776
チェインクロニクル 総力戦メドレー(裏譜面),5.707,634
junction,5.707,603
デザートde焼肉 (サハラ編),5.701,758
夏竜 ～Karyu～(裏譜面),5.692,799
Tulip(裏譜面),5.689,676
GO GET'EM！,5.688,554
イイコ進化論(feat. O-LuHA),5.681,676
スリケンランナー,5.657,677
TOKIMEKIエスカレート(裏譜面),5.636,666
花漾(裏譜面),5.631,540
メヌエット,5.622,528
PAC‐MAN CHAMPIONSHIP EDITION 2,5.621,656
戦国三弦(玄人譜面),5.614,662
隼,5.614,785
Abandoned Temple Final 2nd,5.598,613
月影SASURAI(裏譜面),5.597,764
for Q,5.591,807
Asteroid,5.580,783
白鳥の湖,5.573,609
Night And Day,5.570,697
conflict,5.552,735
Wings of Tomorrow (Tatsujin Mix),5.544,764
もりのくまさん(裏譜面),5.537,562
ヘイラ,5.525,554
ヘイラ(ましろ爻),5.525,554
白日夢、霧雨に溶けて,5.501,689
トッカータとフーガとロック,5.496,803
ゲラゲラと笑うな,5.490,928
Amber Light,5.465,633
NAKED GLOW,5.449,822
氷竜 ～Kooryu～,5.443,733
シンクロニカ・エアライン,5.434,758
真・画竜点睛(達人譜面),5.393,587
花オト裏拍子,5.393,699
さよならワーリャ,5.369,545
真・画竜点睛(玄人譜面),5.366,584
きたさいたま200,5.364,801
サクラ・シークレット,5.359,672
一世風靡(玄人譜面),5.349,664
DIMENSIONS,5.346,534
EDY -エレクトリカルダンシングヨガ-,5.339,764
アントニオ,5.296,723
タイコタイム(玄人譜面),5.275,684
仮想現実のテレスコープ,5.267,741
Hand Over (Prod. TEMPLIME),5.266,650
Pixel Galaxy,5.256,739
ケチャドン2000(達人譜面=玄人譜面=普通譜面),5.255,501
幻想のサテライト,5.243,610
一世風靡(普通譜面),5.237,656
戦国三弦(普通譜面),5.224,616
Honey Heartbeat ～10 Stars Mix～,5.218,764
真・画竜点睛(普通譜面),5.200,566
真・画竜点睛(裏譜面)(達人譜面),5.191,565
MEGALOVANIA,5.185,663
夢と現実の境界線,5.184,602
Many wow bang!(裏譜面),5.182,496
螺旋周回軌道,5.161,670
女神な世界 I,5.159,631
仙酌絶唱のファンタジア,5.145,700
ヌムジカac.10,5.141,630
SORA-Ⅵ 火ノ鳥,5.132,665
エール・エクス・マキナ！,5.095,764
大多羅捌伍伍壱,5.084,615
リッジでリッジでGO！GO！GO！ ‐ GMT mashup ‐,5.043,599
タイコタイム(普通譜面),5.013,650
夜櫻ブレヰダアズ,4.986,566
Diver,4.983,621
ミーナのおやしき,4.971,606
Phantom Rider(裏譜面),4.960,764
狂瀾怒濤,4.949,654
SHOGYO MUJO(達人譜面=玄人譜面=普通譜面),4.946,764
ゆらめ,4.938,613
待ち受けプリンス,4.932,599
オペレート・ミー,4.931,718
Where is the Target？,4.908,545
妖怪ウォッチ2 元祖／本家／真打,4.903,665
雲の彼方の大地の風,4.902,642
ファミコンメドレー,4.884,689
天狗囃子,4.869,733
トンガチン,4.851,473
Comona,4.837,725
No Way Back(裏譜面),4.832,712
スポーツダイジェスドン(裏譜面),4.795,732
ドキドキ胸きゅん おまつりタイム,4.783,651
Dreadnought,4.757,631
ツンデレCafeへようこそ☆,4.740,554
ヘ調の協奏曲 第3楽章,4.704,733
真・画竜点睛(裏譜面)(普通譜面),4.695,511
魔方陣 -サモン・デルタ-,4.693,599
RIDGE RACER STEPS ‐ GMT remix ‐,4.486,535
女帝 ～インバラトゥーラ～,4.467,647
Agent Hustle & Dr. Hassle(裏譜面),4.433,517
真・画竜点睛(裏譜面)(玄人譜面),4.410,480
ぺた・PETA！？パンプキン,4.408,523
トンデ・ミテ,4.376,558
Wish upon a shooting star,4.330,617
彼は誰時の誘惑,4.292,552
オーディオ de カッ！,4.105,575
【双打】 Garakuta Doll Play,3.979,464
【双打】 Garakuta Doll Play,3.864,451
そして勇者は眠りにつく,3.842,568
【双打】 Many wow bang!,3.427,328
【双打】 紅,3.356,484
【双打】 Extreme MGG★★★,3.283,398
【双打】 Extreme MGG★★★,3.278,398
【双打】 紅,3.242,468
【双打】 KAGEKIYO,3.229,465
【双打】 Many wow bang!,2.936,281
【双打】 Many wow bang!(裏譜面),2.832,271
Blood Rage(裏譜面),8.106,1032
Seize the day,8.017,883
新しい光(9mm),7.934,998
怪獣少女は火を吹かない(裏譜面),7.719,620
「ポケットモンスター オメガルビー・アルファサファイア」(裏譜面),7.474,743
チキンレース,7.457,851
シル・ヴ・プレジデント(裏譜面),7.428,640
戦国BASARA BGMメドレー,7.414,937
なめこのうた(裏譜面),7.336,764
SUDDEN GUST OC,7.295,883
グッバイ宣言(裏譜面),7.231,980
キルミーのベイベー！,7.160,595
Punishment,7.154,998
ゴーストルール(裏譜面),7.153,797
ミックスナッツ(裏譜面),6.965,599
Feed A,6.962,612
Roca Roja,6.876,829
1/2 ～inside me,6.728,814
DIGITAL HORIZON,6.703,856
Ridge racer (RIDGE RACER USA MIX),6.695,941
SWITCH ON!(裏譜面),6.672,453
Day of the future,6.662,764
RYDEEN(裏譜面),6.640,808
文明開化(達人譜面),6.537,787
ウキウキオトッペ,6.476,544
オーバーマスター(裏譜面),6.467,764
